run_id,optimizer_algo,environment,avoidance_algo,seed,aggregation_status
ooa_urban_ooa_seed13,ooa,urban,ooa,13,aggregated
ooa_urban_ooa_seed14,ooa,urban,ooa,14,aggregated
ooa_urban_ooa_seed15,ooa,urban,ooa,15,aggregated
ooa_urban_ooa_seed16,ooa,urban,ooa,16,aggregated
ooa_urban_ooa_seed17,ooa,urban,ooa,17,aggregated
ooa_urban_ooa_seed18,ooa,urban,ooa,18,aggregated
ooa_urban_ooa_seed19,ooa,urban,ooa,19,aggregated
ooa_urban_ooa_seed2,ooa,urban,ooa,2,aggregated
ooa_urban_ooa_seed20,ooa,urban,ooa,20,aggregated
ooa_urban_ooa_seed21,ooa,urban,ooa,21,aggregated
ooa_urban_ooa_seed22,ooa,urban,ooa,22,aggregated
ooa_urban_ooa_seed23,ooa,urban,ooa,23,aggregated
ooa_urban_ooa_seed24,ooa,urban,ooa,24,aggregated
ooa_urban_ooa_seed25,ooa,urban,ooa,25,aggregated
ooa_urban_ooa_seed26,ooa,urban,ooa,26,aggregated
ooa_urban_ooa_seed27,ooa,urban,ooa,27,aggregated
ooa_urban_ooa_seed28,ooa,urban,ooa,28,aggregated
ooa_urban_ooa_seed29,ooa,urban,ooa,29,aggregated
ooa_urban_ooa_seed3,ooa,urban,ooa,3,aggregated
ooa_urban_ooa_seed30,ooa,urban,ooa,30,aggregated
ooa_urban_ooa_seed4,ooa,urban,ooa,4,aggregated
ooa_urban_ooa_seed5,ooa,urban,ooa,5,aggregated
ooa_urban_ooa_seed6,ooa,urban,ooa,6,aggregated
ooa_urban_ooa_seed7,ooa,urban,ooa,7,aggregated
ooa_urban_ooa_seed8,ooa,urban,ooa,8,aggregated
ooa_urban_ooa_seed9,ooa,urban,ooa,9,aggregated
ssa_forest_ssa_seed1,ssa,forest,ssa,1,aggregated
ssa_forest_ssa_seed10,ssa,forest,ssa,10,aggregated
ssa_forest_ssa_seed11,ssa,forest,ssa,11,aggregated
ssa_forest_ssa_seed12,ssa,forest,ssa,12,aggregated
ssa_forest_ssa_seed13,ssa,forest,ssa,13,aggregated
ssa_forest_ssa_seed14,ssa,forest,ssa,14,aggregated
ssa_forest_ssa_seed15,ssa,forest,ssa,15,aggregated
ssa_forest_ssa_seed16,ssa,forest,ssa,16,aggregated
ssa_forest_ssa_seed17,ssa,forest,ssa,17,aggregated
ssa_forest_ssa_seed18,ssa,forest,ssa,18,aggregated
ssa_forest_ssa_seed19,ssa,forest,ssa,19,aggregated
ssa_forest_ssa_seed2,ssa,forest,ssa,2,aggregated
ssa_forest_ssa_seed20,ssa,forest,ssa,20,aggregated
ssa_forest_ssa_seed21,ssa,forest,ssa,21,aggregated
ssa_forest_ssa_seed22,ssa,forest,ssa,22,aggregated
ssa_forest_ssa_seed23,ssa,forest,ssa,23,aggregated
ssa_forest_ssa_seed24,ssa,forest,ssa,24,aggregated
ssa_forest_ssa_seed25,ssa,forest,ssa,25,aggregated
ssa_forest_ssa_seed26,ssa,forest,ssa,26,aggregated
ssa_forest_ssa_seed27,ssa,forest,ssa,27,aggregated
ssa_forest_ssa_seed28,ssa,forest,ssa,28,aggregated
ssa_forest_ssa_seed29,ssa,forest,ssa,29,aggregated
ssa_forest_ssa_seed3,ssa,forest,ssa,3,aggregated
ssa_forest_ssa_seed30,ssa,forest,ssa,30,aggregated
ssa_forest_ssa_seed4,ssa,forest,ssa,4,aggregated
ssa_forest_ssa_seed5,ssa,forest,ssa,5,aggregated
ssa_forest_ssa_seed6,ssa,forest,ssa,6,aggregated
ssa_forest_ssa_seed7,ssa,forest,ssa,7,aggregated
ssa_forest_ssa_seed8,ssa,forest,ssa,8,aggregated
ssa_forest_ssa_seed9,ssa,forest,ssa,9,aggregated
ssa_urban_ssa_seed1,ssa,urban,ssa,1,aggregated
ssa_urban_ssa_seed10,ssa,urban,ssa,10,aggregated
ssa_urban_ssa_seed11,ssa,urban,ssa,11,aggregated
ssa_urban_ssa_seed12,ssa,urban,ssa,12,aggregated
ssa_urban_ssa_seed13,ssa,urban,ssa,13,aggregated
ssa_urban_ssa_seed14,ssa,urban,ssa,14,aggregated
ssa_urban_ssa_seed15,ssa,urban,ssa,15,aggregated
ssa_urban_ssa_seed16,ssa,urban,ssa,16,aggregated
ssa_urban_ssa_seed17,ssa,urban,ssa,17,aggregated
ssa_urban_ssa_seed18,ssa,urban,ssa,18,aggregated
ssa_urban_ssa_seed19,ssa,urban,ssa,19,aggregated
ssa_urban_ssa_seed2,ssa,urban,ssa,2,aggregated
ssa_urban_ssa_seed20,ssa,urban,ssa,20,aggregated
ssa_urban_ssa_seed21,ssa,urban,ssa,21,aggregated
ssa_urban_ssa_seed22,ssa,urban,ssa,22,aggregated
ssa_urban_ssa_seed23,ssa,urban,ssa,23,aggregated
ssa_urban_ssa_seed24,ssa,urban,ssa,24,aggregated
ssa_urban_ssa_seed25,ssa,urban,ssa,25,aggregated
ssa_urban_ssa_seed26,ssa,urban,ssa,26,aggregated
ssa_urban_ssa_seed27,ssa,urban,ssa,27,aggregated
ssa_urban_ssa_seed28,ssa,urban,ssa,28,aggregated
ssa_urban_ssa_seed29,ssa,urban,ssa,29,aggregated
ssa_urban_ssa_seed3,ssa,urban,ssa,3,aggregated
ssa_urban_ssa_seed30,ssa,urban,ssa,30,aggregated
ssa_urban_ssa_seed4,ssa,urban,ssa,4,aggregated
ssa_urban_ssa_seed5,ssa,urban,ssa,5,aggregated
ssa_urban_ssa_seed6,ssa,urban,ssa,6,aggregated
ssa_urban_ssa_seed7,ssa,urban,ssa,7,aggregated
ssa_urban_ssa_seed8,ssa,urban,ssa,8,aggregated
ssa_urban_ssa_seed9,ssa,urban,ssa,9,aggregated
